price,room_type,accommodates,bedrooms,beds,bathrooms,latitude,longitude,neighbourhood_cleansed,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,host_is_superhost,instant_bookable,amenities,has_reviews,amenities_count,log_price
96.0,Entire home/apt,2,1.0,1.0,1.0,35.57864,-82.59578,28806,4.62,4.46,4.92,4.58,1,1,"[""Coffee maker"", ""Wifi"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Patio or balcony"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Dedicated workspace"", ""Keypad"", ""Free street parking"", ""Cooking basics"", ""Essentials"", ""Iron"", ""Refrigerator"", ""Shampoo"", ""Pets allowed"", ""Oven"", ""Bed linens"", ""Stove"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Private entrance"", ""Heating"", ""Microwave"", ""Hair dryer""]",1,29,4.574710978503383
44.0,Private room,2,1.0,1.0,1.0,35.57735,-82.63804,28806,4.92,4.98,4.86,4.97,1,0,"[""Electric stove"", ""Clothing storage: closet"", ""Ceiling fan"", ""Coffee"", ""Cleaning products"", ""Wine glasses"", ""Drying rack for clothing"", ""Wifi"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Air conditioning"", ""Outdoor furniture"", ""Shower gel"", ""Dryer"", ""Hot water"", ""Dedicated workspace"", ""Dining table"", ""Free street parking"", ""Books and reading material"", ""Cooking basics"", ""Single level home"", ""Essentials"", ""Iron"", ""Shared patio or balcony"", ""Refrigerator"", ""Shampoo"", ""Hot water kettle"", ""Oven"", ""Bed linens"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Washer"", ""Board games"", ""Blender"", ""Fire pit"", ""First aid kit"", ""Heating"", ""Body soap"", ""Hair dryer"", ""Bathtub"", ""Microwave"", ""Conditioner"", ""Shared backyard \u2013 Fully fenced"", ""Room-darkening shades""]",1,47,3.8066624897703196
90.0,Entire home/apt,4,1.0,2.0,1.0,35.61764144897461,-82.55181884765625,28804,4.89,4.85,4.94,4.8,0,0,"[""Coffee maker"", ""Clothing storage: walk-in closet"", ""Ceiling fan"", ""Cleaning products"", ""Wine glasses"", ""Wifi"", ""Dishwasher"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Baking sheet"", ""Long term stays allowed"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Baby safety gates"", ""Dedicated workspace"", ""Dining table"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Books and reading material"", ""Cooking basics"", ""Essentials"", ""Iron"", ""Refrigerator"", ""Shampoo"", ""Oven"", ""Bed linens"", ""Stove"", ""BBQ grill"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Washer"", ""Private entrance"", ""HDTV with premium cable"", ""Barbecue utensils"", ""Heating"", ""Microwave"", ""Hair dryer""]",1,42,4.51085950651685
62.0,Private room,2,1.0,1.0,1.0,35.59615,-82.50635,28805,4.66,4.57,4.67,4.59,0,0,"[""Coffee maker"", ""Wifi"", ""Dishwasher"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Air conditioning"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Backyard"", ""Cooking basics"", ""TV with standard cable"", ""Essentials"", ""Iron"", ""Refrigerator"", ""Oven"", ""Bed linens"", ""Stove"", ""Kitchen"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Washer"", ""First aid kit"", ""Heating"", ""Microwave""]",1,26,4.143134726391533
221.0,Entire home/apt,6,4.0,5.0,2.0,35.58561,-82.62731,28806,4.94,4.91,4.91,4.91,1,1,"[""Garden view"", ""Outdoor dining area"", ""Clothing storage: closet"", ""Private backyard"", ""Ceiling fan"", ""Toaster"", ""Liquid conditioner"", ""Coffee"", ""Cleaning products"", ""Wine glasses"", ""Wifi"", ""Dishwasher"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Baking sheet"", ""Self check-in"", ""Outdoor furniture"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Free driveway parking on premises \u2013 8 spaces"", ""Dedicated workspace"", ""Dining table"", ""Keypad"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Gas stove"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Private patio or balcony"", ""Books and reading material"", ""Cooking basics"", ""Liquid shampoo"", ""Essentials"", ""Iron"", ""TV"", ""Exercise equipment"", ""Refrigerator"", ""Liquid body soap"", ""Pets allowed"", ""Hot water kettle"", ""Oven"", ""Freezer"", ""Bed linens"", ""Mountain view"", ""Crib - always at the listing"", ""BBQ grill"", ""Kitchen"", ""Hangers"", ""Courtyard view"", ""Extra pillows and blankets"", ""Washer"", ""Board games"", ""Private entrance"", ""Fire pit"", ""First aid kit"", ""Barbecue utensils"", ""Heating"", ""Hair dryer"", ""Bathtub"", ""Outlet covers"", ""Indoor fireplace"", ""Coffee maker: drip coffee maker"", ""Children\u2019s books and toys""]",1,64,5.402677381872279
148.0,Entire home/apt,2,1.0,1.0,1.0,35.49088,-82.48602,28803,4.98,5.0,4.93,4.89,0,1,"[""Wifi"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Air conditioning"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Host greets you"", ""Cooking basics"", ""TV with standard cable"", ""Essentials"", ""Iron"", ""Shampoo"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Washer"", ""Heating"", ""Hair dryer"", ""Indoor fireplace""]",1,21,5.003946305945459
104.0,Entire home/apt,3,1.0,1.0,1.0,35.56921,-82.57349,28806,4.98,4.98,4.91,4.93,1,0,"[""Garden view"", ""AC - split type ductless system"", ""Coffee maker"", ""Ceiling fan"", ""Coffee"", ""Wine glasses"", ""Wifi"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Patio or balcony"", ""Baking sheet"", ""Cosmo  gas stove"", ""Self check-in"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hot water"", ""Dedicated workspace"", ""Dining table"", ""Keypad"", ""Luggage dropoff allowed"", ""TV with Hulu, HBO Max, Amazon Prime Video, Netflix"", ""Free street parking"", ""Cooking basics"", ""Essentials"", ""Exercise equipment"", ""Iron"", ""Refrigerator"", ""Shampoo"", ""Private gym nearby"", ""Hot water kettle"", ""Oven"", ""Freezer"", ""Bed linens"", ""Pocket wifi"", ""BBQ grill"", ""Kitchen"", ""Hangers"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Board games"", ""Private entrance"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Fire pit"", ""Heating"", ""Body soap"", ""Hair dryer"", ""Microwave"", ""Room-darkening shades""]",1,54,4.653960350157523
143.0,Entire home/apt,2,1.0,1.0,2.0,35.57039,-82.57359,28806,4.9,4.9,4.7,4.85,1,0,"[""Outdoor shower"", ""Clothing storage: closet"", ""Ceiling fan"", ""Toaster"", ""Coffee"", ""Cleaning products"", ""Wine glasses"", ""Wifi"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Lockbox"", ""Baking sheet"", ""Self check-in"", ""Air conditioning"", ""Outdoor furniture"", ""Shower gel"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Dining table"", ""Cooking basics"", ""Essentials"", ""TV"", ""Iron"", ""Refrigerator"", ""Shampoo"", ""Hot water kettle"", ""Coffee maker: drip coffee maker, french press"", ""Freezer"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Extra pillows and blankets"", ""Board games"", ""Blender"", ""Private entrance"", ""Fire pit"", ""Heating"", ""Body soap"", ""Hair dryer"", ""Microwave"", ""Conditioner"", ""Shared backyard \u2013 Fully fenced"", ""Room-darkening shades""]",1,47,4.969813299576001
137.0,Entire home/apt,2,1.0,2.0,1.0,35.60415,-82.54893,28801,4.82,4.75,4.97,4.71,0,0,"[""Fast wifi \u2013 516 Mbps"", ""Mini fridge"", ""Outdoor playground"", ""Garden view"", ""AC - split type ductless system"", ""Coffee maker"", ""Ceiling fan"", ""Toaster"", ""Coffee"", ""Cleaning products"", ""Wine glasses"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Hammock"", ""Self check-in"", ""Outdoor furniture"", ""Long term stays allowed"", ""HDTV with Netflix"", ""Shower gel"", ""Carbon monoxide alarm"", ""Hot water"", ""Baby safety gates"", ""Children\u2019s books and toys"", ""Dedicated workspace"", ""Natural products  body soap"", ""Dining table"", ""Keypad"", ""Valley view"", ""Luggage dropoff allowed"", ""Children\u2019s dinnerware"", ""Kitchenette"", ""Free street parking"", ""Private patio or balcony"", ""Books and reading material"", ""Cooking basics"", ""Essentials"", ""Iron"", ""Shared backyard \u2013 Not fully fenced"", ""Refrigerator"", ""Shampoo"", ""Pets allowed"", ""Hot water kettle"", ""Freezer"", ""Bed linens"", ""Mountain view"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Board games"", ""Blender"", ""Private entrance"", ""Fire pit"", ""Exterior security cameras on property"", ""Laundromat nearby"", ""Heating"", ""Microwave"", ""Hair dryer"", ""Bathtub"", ""Cleaning available during stay"", ""Conditioner"", ""Room-darkening shades"", ""Resort view""]",1,66,4.927253685157205
59.0,Entire home/apt,4,1.0,2.0,1.0,35.621288,-82.553017,28804,4.76,4.73,4.91,4.77,1,1,"[""Pack \u2019n play/Travel crib - available upon request"", ""Electric stove"", ""Clothing storage: closet"", ""Private sauna"", ""Toaster"", ""Coffee"", ""Wine glasses"", ""Wifi"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Patio or balcony"", ""Baking sheet"", ""Self check-in"", ""Air conditioning"", ""Long term stays allowed"", ""Shower gel"", ""Carbon monoxide alarm"", ""Hot water"", ""Dedicated workspace"", ""Dining table"", ""Keypad"", ""Books and reading material"", ""Cooking basics"", ""Single level home"", ""Essentials"", ""TV"", ""Iron"", ""Bluetooth sound system"", ""Refrigerator"", ""Shampoo"", ""Hot water kettle"", ""Oven"", ""Freezer"", ""Bed linens"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Blender"", ""Private entrance"", ""First aid kit"", ""Laundromat nearby"", ""Heating"", ""Portable fans"", ""Body soap"", ""Hair dryer"", ""Microwave"", ""Coffee maker: french press, Keurig coffee machine"", ""Conditioner""]",1,51,4.0943445622221
